Hotel Name,Hotel Rating,Review Rating,WiFi in lobby,Free WiFi,Pool,Spa,Parking,Pets,A/C,Restaurant,Hotel bar,Price,
Hotel Tara Residency,NaN,7.9,Yes,Yes,No,No,Yes,No,Yes,No,No,2828,
"The Peerless Inn, Hyderabad",3,6.3,Yes,Yes,No,No,No,No,Yes,Yes,No,5375,
Zen Comfort,2,7.9,Yes,Yes,No,No,Yes,Yes,Yes,No,No,1702,
Capital O 23502 Hotel Millennium Grand,4,8,Yes,Yes,No,No,Yes,Yes,Yes,No,No,1929,
Treebo Navya Grand,3,9.5,Yes,Yes,No,No,Yes,No,Yes,No,No,1685,
Oyo 37762 Hyvin Suites,NaN,8.5,Yes,Yes,No,No,Yes,No,Yes,No,No,985,
Fabhotel Skycity,NaN,NaN,No,No,No,No,No,No,Yes,Yes,No,1943,
Oyo Rooms Hitech City,3,7.6,Yes,No,No,No,Yes,No,Yes,Yes,No,4810,
Jubilee Ridge,3,8.3,Yes,No,No,No,Yes,No,Yes,Yes,No,4210,
Hotel Kinara Grand Shamshabad,2,7.4,No,No,No,No,No,No,No,Yes,No,1531,
Oyo Townhouse 176 Rajdhani Residency,NaN,8.2,No,No,No,No,No,No,No,Yes,No,1213,
"ITC Kohenur, A Luxury Collection",5,8.6,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,13806,
Ankitha's Stay Inn,NaN,8,Yes,No,No,No,Yes,No,Yes,Yes,No,2825,
Lake View Homes,NaN,7.7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2080,
Capital O 15991 Silicon Ville,4,7.5,Yes,No,No,No,Yes,No,Yes,Yes,No,3132,
OYO 6749 The Royal Nest,3,8,Yes,No,No,No,Yes,No,Yes,Yes,No,1375,
"Itc Kohenur, A Luxury Collection , Hyderabad",NaN,8.6,Yes,Yes,No,No,Yes,No,Yes,No,No,13806,
Sitara Grand Kukatpally,NaN,7.3,Yes,No,No,No,Yes,No,No,No,No,3211,
FabHotel Veeraj Suites Gachibowli,3,8.3,Yes,Yes,No,No,No,No,Yes,Yes,No,3016,
"Hi-tech Suites,hitech City",NaN,NaN,Yes,Yes,No,No,No,No,Yes,Yes,No,2819,
Iroomz Hotel Galaxy Grand,NaN,NaN,No,No,No,No,Yes,No,No,No,No,2411,
Fabhotel Prime Cloud 5 Studios,NaN,NaN,Yes,Yes,No,No,No,No,Yes,No,No,5337,
Treebo Trend Hotel VJR,1,9.5,Yes,Yes,No,No,No,No,Yes,No,No,4478,
Collection O Q Suites,NaN,NaN,No,Yes,No,No,No,No,Yes,No,No,1273,
Oyo Flagship Jvp Hotels,NaN,10,No,No,No,No,No,No,No,No,No,1541,
Iroomz Hotel Shree Jagannath,NaN,NaN,No,No,No,No,No,No,No,No,No,2027,
Collection O Ssr Royal Suites,3,8.4,Yes,Yes,No,No,Yes,No,Yes,No,No,1491,
Fabhotel Rooms 27,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,No,No,1722,
Fabhotel Stone Gallery,NaN,NaN,No,No,No,No,No,No,Yes,No,No,2300,
Fabhotel Rooms 27,NaN,NaN,Yes,Yes,No,No,No,No,Yes,No,No,1725,
Fabhotel Jkc Grand,NaN,NaN,No,No,No,No,No,No,Yes,No,No,2492,
Fabexpress Gg Residency,NaN,NaN,No,No,No,No,No,No,Yes,No,No,1869,
R3 Jkc Grand,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2635,
Swan Suites,5,NaN,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3145,
Fabhotel Silicon Valley Madhapur,NaN,NaN,No,No,No,No,No,No,Yes,No,No,2443,
Fresh Living,NaN,NaN,No,No,No,No,No,No,No,No,No,2957,
Fabhotel Perams Grand Inn,NaN,NaN,No,No,No,No,No,No,Yes,Yes,No,2862,
Trance Greenfields Resort and Convention Centre,5,8.4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,7557,
Kundhana Guest Luxury Living,NaN,NaN,No,No,No,No,No,No,No,No,No,2449,
Treebo Trend Sapphire Hitech City,NaN,NaN,No,No,No,No,Yes,No,Yes,No,No,3541,
Oyo Flagship Rbs Classic Stay Boduppal,NaN,NaN,Yes,Yes,No,No,No,No,Yes,No,No,1084,
OYO Townhouse 128 Imperial Stay,NaN,8.8,No,No,No,No,No,No,No,No,No,1497,
SilverKey Executive Stays 28060 JV Colony,NaN,8.6,Yes,Yes,No,No,No,No,No,No,No,1594,
OYO 43619 Sahasra Residency,NaN,6.6,Yes,Yes,No,No,No,No,No,No,No,1317,
Oyo 14502 Hill View Guest House Hitech City,NaN,NaN,No,No,No,No,No,No,Yes,No,No,3360,
OYO 11609 Sri Sai Residency,3,7.3,Yes,Yes,No,No,No,No,Yes,Yes,No,1369,
Oyo Flagship Red Stone Hotels,NaN,NaN,No,No,No,No,Yes,No,Yes,No,No,1210,
Skyla Studios & Suites - Kondapur,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,Yes,No,5374,
Trance Babylon Executive Stays,NaN,NaN,Yes,Yes,No,No,Yes,No,No,Yes,No,2509,
Treebo Trend Sy Inn,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3532,
Hotel Rudra Grand,3,NaN,Yes,Yes,No,No,Yes,No,Yes,No,No,2328,
The Balcony Suites,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,No,No,2912,
"Super Oyo Flagship Jntu College Near Lulu Mall, Kphb Colony.",NaN,4.9,Yes,Yes,No,No,Yes,No,Yes,No,No,1150,
Oyo 44149 Globextra,NaN,8.8,Yes,Yes,No,No,Yes,No,Yes,No,No,1254,
Celestia Suites at Leonia,5,7.3,Yes,Yes,No,No,Yes,No,Yes,No,No,6824,
OYO 22425 Hotel Honey Cruise,NaN,8.6,Yes,Yes,No,No,No,No,Yes,Yes,Yes,1421,
OYO 6664 Ritesh Grand,3,8,Yes,Yes,No,No,No,No,Yes,No,No,625,
Capital O 7648 Sri Navya Grand,NaN,8.3,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1623,
Sri Supraja Residency,NaN,7.5,No,No,No,No,No,No,Yes,Yes,Yes,1567,
Fabhotel Sri Karthikeya Grand,NaN,NaN,No,No,No,No,No,No,Yes,Yes,Yes,1821,
Iroomz Grand Aarvi Suites,NaN,NaN,No,No,No,No,No,No,No,No,No,2544,
Oyo Townhouse 123 Raghvendra Nagar,NaN,9,Yes,Yes,No,No,Yes,No,No,Yes,No,1555,
Hotel OhBiz Executive,3,5.4,Yes,Yes,No,No,Yes,No,No,Yes,No,7277,
Oyo Townhouse 234 Shamashbad Sbi Building,NaN,9.2,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,1236,
Oyo 29087 Hotel Golden Pride,NaN,8.3,Yes,Yes,No,No,Yes,No,Yes,No,No,848,
Sri Supraja Lodge,1,7,No,No,No,No,No,No,Yes,No,No,2034,
Treebo Tryst D Consulate,NaN,NaN,Yes,Yes,No,No,No,No,Yes,Yes,No,3916,
Fabexpress Star Kinghood Inn,NaN,NaN,No,No,No,No,No,No,Yes,No,No,1552,
Smart Stay By Isthara,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,No,No,1428,
Ocean Waves Moms Guest House,NaN,NaN,No,No,No,No,No,No,No,No,No,1120,
Leonia Holistic Destination,5,8.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6627,
Hotel Ramoji Film City- Sitara Luxury,4,8.4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,11636,
Oyo Flagship 81252 Hotel Rianshi Palace Inn,NaN,NaN,No,No,No,No,No,No,Yes,No,No,905,
Shantiniketan,NaN,8,Yes,Yes,No,No,Yes,No,Yes,Yes,No,5481,
Leo Biz at Leonia,3,8.1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,7276,
SSR Luxury Rooms,3,9.2,Yes,Yes,No,No,No,No,Yes,No,No,1027,
Hotel Ssr Grand,NaN,NaN,No,No,No,No,Yes,No,Yes,Yes,No,2800,
Country Club Medcha,NaN,7.2,Yes,No,No,No,Yes,No,No,No,No,2307,
Fabhotel Mint Park,NaN,NaN,No,No,No,No,No,No,No,No,No,2314,
Depally Town House,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,No,No,1350,
